"","PLAYER_ID","PLAYER_NAME","PLAYER_LAST_TEAM_ID","PLAYER_LAST_TEAM_ABBREVIATION","AGE","GP","G","FGA_FREQUENCY","FGM","FGA","FG_PCT","EFG_PCT","FG2A_FREQUENCY","FG2M","FG2A","FG2_PCT","FG3A_FREQUENCY","FG3M","FG3A","FG3_PCT"
"1","203999","Nikola Jokic","1610612743","DEN","29","70","61","0.133","74","165","0.448","0.488","0.087","61","108","0.565","0.046","13","57","0.228"
"2","1628973","Jalen Brunson","1610612752","NYK","27","69","58","0.096","56","138","0.406","0.449","0.064","44","92","0.478","0.032","12","46","0.261"
"3","202695","Kawhi Leonard","1610612746","LAC","32","67","58","0.116","59","132","0.447","0.519","0.069","40","79","0.506","0.047","19","53","0.358"
"4","1630162","Anthony Edwards","1610612750","MIN","22","71","56","0.093","50","132","0.379","0.428","0.056","37","79","0.468","0.037","13","53","0.245"
"5","1628369","Jayson Tatum","1610612738","BOS","26","68","58","0.1","49","132","0.371","0.432","0.059","33","78","0.423","0.041","16","54","0.296"
"6","1628368","De'Aaron Fox","1610612758","SAC","26","66","60","0.089","44","121","0.364","0.43","0.049","28","67","0.418","0.04","16","54","0.296"
"7","1631094","Paolo Banchero","1610612753","ORL","21","72","50","0.096","39","120","0.325","0.354","0.067","32","84","0.381","0.029","7","36","0.194"
"8","201942","DeMar DeRozan","1610612741","CHI","34","72","55","0.098","42","118","0.356","0.407","0.058","30","70","0.429","0.04","12","48","0.25"
"9","1628404","Josh Hart","1610612752","NYK","29","73","56","0.193","37","117","0.316","0.363","0.124","26","75","0.347","0.069","11","42","0.262"
"10","1628398","Kyle Kuzma","1610612764","WAS","28","69","52","0.09","36","116","0.31","0.379","0.049","20","64","0.313","0.04","16","52","0.308"
"11","1630178","Tyrese Maxey","1610612755","PHI","23","65","55","0.089","35","116","0.302","0.345","0.057","25","74","0.338","0.032","10","42","0.238"
"12","1629012","Collin Sexton","1610612762","UTA","25","74","57","0.118","47","115","0.409","0.457","0.072","36","70","0.514","0.046","11","45","0.244"
"13","1630532","Franz Wagner","1610612753","ORL","22","66","53","0.113","48","114","0.421","0.482","0.069","34","69","0.493","0.045","14","45","0.311"
"14","203944","Julius Randle","1610612752","NYK","29","46","40","0.131","43","108","0.398","0.449","0.089","32","74","0.432","0.041","11","34","0.324"
"15","1628970","Miles Bridges","1610612766","CHA","26","62","53","0.097","39","107","0.364","0.444","0.045","22","50","0.44","0.052","17","57","0.298"
"16","202331","Paul George","1610612746","LAC","33","67","57","0.093","44","105","0.419","0.524","0.042","22","47","0.468","0.052","22","58","0.379"
"17","1629632","Coby White","1610612741","CHI","24","71","52","0.097","38","105","0.362","0.462","0.046","17","50","0.34","0.051","21","55","0.382"
"18","1627832","Fred VanVleet","1610612745","HOU","30","67","50","0.116","28","105","0.267","0.329","0.045","15","41","0.366","0.071","13","64","0.203"
"19","1627742","Brandon Ingram","1610612740","NOP","26","62","49","0.105","41","104","0.394","0.438","0.066","32","66","0.485","0.038","9","38","0.237"
"20","203954","Joel Embiid","1610612755","PHI","30","34","34","0.138","34","104","0.327","0.351","0.095","29","72","0.403","0.042","5","32","0.156"
"21","1629029","Luka Doncic","1610612742","DAL","25","64","50","0.068","41","103","0.398","0.485","0.029","23","44","0.523","0.039","18","59","0.305"
"22","201142","Kevin Durant","1610612756","PHX","35","66","42","0.081","46","102","0.451","0.49","0.059","38","74","0.514","0.022","8","28","0.286"
"23","1630224","Jalen Green","1610612745","HOU","22","74","53","0.085","37","102","0.363","0.451","0.033","19","40","0.475","0.052","18","62","0.29"
"24","203471","Dennis Schroder","1610612751","BKN","30","74","50","0.119","33","102","0.324","0.382","0.064","21","55","0.382","0.055","12","47","0.255"
"25","1630560","Cam Thomas","1610612751","BKN","22","57","50","0.101","33","102","0.324","0.382","0.058","21","58","0.362","0.044","12","44","0.273"
"26","1628378","Donovan Mitchell","1610612739","CLE","27","51","47","0.1","38","101","0.376","0.455","0.055","22","56","0.393","0.044","16","45","0.356"
"27","202710","Jimmy Butler","1610612748","MIA","34","52","44","0.144","39","100","0.39","0.44","0.101","29","70","0.414","0.043","10","30","0.333"
"28","1626164","Devin Booker","1610612756","PHX","27","59","41","0.088","28","100","0.28","0.31","0.054","22","61","0.361","0.034","6","39","0.154"
"29","1629636","Darius Garland","1610612739","CLE","24","51","43","0.133","42","99","0.424","0.52","0.06","23","45","0.511","0.072","19","54","0.352"
"30","202699","Tobias Harris","1610612755","PHI","31","66","44","0.109","46","98","0.469","0.536","0.079","33","71","0.465","0.03","13","27","0.481"
"31","1628991","Jaren Jackson Jr.","1610612763","MEM","24","64","51","0.088","36","98","0.367","0.398","0.059","30","66","0.455","0.029","6","32","0.188"
"32","1628389","Bam Adebayo","1610612748","MIA","26","62","47","0.109","34","98","0.347","0.352","0.099","33","89","0.371","0.01","1","9","0.111"
"33","1628969","Mikal Bridges","1610612751","BKN","27","73","56","0.082","34","98","0.347","0.408","0.051","22","61","0.361","0.031","12","37","0.324"
"34","1627750","Jamal Murray","1610612743","DEN","27","52","42","0.113","35","97","0.361","0.433","0.069","21","59","0.356","0.044","14","38","0.368"
"35","1627747","Caris LeVert","1610612739","CLE","29","62","51","0.13","35","97","0.361","0.438","0.06","20","45","0.444","0.07","15","52","0.288"
"36","2544","LeBron James","1610612747","LAL","39","64","47","0.085","35","96","0.365","0.396","0.059","29","66","0.439","0.027","6","30","0.2"
"37","1630175","Cole Anthony","1610612753","ORL","23","73","52","0.136","31","95","0.326","0.368","0.077","23","54","0.426","0.059","8","41","0.195"
"38","1630559","Austin Reaves","1610612747","LAL","25","74","50","0.113","25","95","0.263","0.311","0.055","16","46","0.348","0.058","9","49","0.184"
"39","202704","Reggie Jackson","1610612743","DEN","33","73","51","0.14","33","93","0.355","0.403","0.083","24","55","0.436","0.057","9","38","0.237"
"40","1630578","Alperen Sengun","1610612745","HOU","21","63","49","0.094","47","92","0.511","0.538","0.073","42","72","0.583","0.02","5","20","0.25"
"41","1629014","Anfernee Simons","1610612757","POR","24","45","38","0.111","32","91","0.352","0.396","0.066","24","54","0.444","0.045","8","37","0.216"
"42","1629027","Trae Young","1610612737","ATL","25","51","44","0.093","32","91","0.352","0.429","0.049","18","48","0.375","0.044","14","43","0.326"
"43","1630567","Scottie Barnes","1610612761","TOR","22","60","44","0.096","37","90","0.411","0.472","0.062","26","58","0.448","0.034","11","32","0.344"
"44","1628370","Malik Monk","1610612758","SAC","26","72","52","0.101","28","90","0.311","0.406","0.043","11","38","0.289","0.058","17","52","0.327"
"45","203903","Jordan Clarkson","1610612762","UTA","31","54","45","0.112","19","89","0.213","0.247","0.053","13","42","0.31","0.059","6","47","0.128"
"46","1628983","Shai Gilgeous-Alexander","1610612760","OKC","25","71","49","0.061","38","87","0.437","0.454","0.048","35","68","0.515","0.013","3","19","0.158"
"47","203507","Giannis Antetokounmpo","1610612749","MIL","29","69","49","0.066","39","86","0.453","0.465","0.056","37","73","0.507","0.01","2","13","0.154"
"48","1628978","Donte DiVincenzo","1610612752","NYK","27","73","50","0.098","29","86","0.337","0.424","0.039","14","34","0.412","0.059","15","52","0.288"
"49","1641764","Brandin Podziemski","1610612744","GSW","21","65","47","0.164","29","86","0.337","0.372","0.115","23","60","0.383","0.05","6","26","0.231"
"50","1630595","Cade Cunningham","1610612765","DET","22","60","47","0.076","33","85","0.388","0.459","0.041","21","46","0.457","0.035","12","39","0.308"
"51","1627783","Pascal Siakam","1610612754","IND","29","73","48","0.073","28","85","0.329","0.371","0.047","21","54","0.389","0.027","7","31","0.226"
"52","203081","Damian Lillard","1610612749","MIL","33","68","45","0.071","25","85","0.294","0.359","0.034","14","41","0.341","0.037","11","44","0.25"
"53","201935","James Harden","1610612746","LAC","34","66","45","0.11","27","83","0.325","0.452","0.024","6","18","0.333","0.086","21","65","0.323"
"54","1629640","Keldon Johnson","1610612759","SAS","24","67","49","0.098","34","82","0.415","0.482","0.049","23","41","0.561","0.049","11","41","0.268"
"55","203076","Anthony Davis","1610612747","LAL","31","69","49","0.07","34","81","0.42","0.438","0.055","31","64","0.484","0.015","3","17","0.176"
"56","1627759","Jaylen Brown","1610612738","BOS","27","65","45","0.069","32","80","0.4","0.45","0.04","24","46","0.522","0.029","8","34","0.235"
"57","1631114","Jalen Williams","1610612760","OKC","22","67","50","0.083","39","79","0.494","0.57","0.055","27","52","0.519","0.028","12","27","0.444"
